部门,活动名称,类别,开始日期,结束日期,开始时间,结束时间,地点,负责人,交付物,重复,说明
全学媒,新学期学媒全体大会,会议,2026-09-20,,19:00,20:30,书院会议室,办公室,会议纪要,,全员参加，明确学期安排与分工
全学媒,学媒联合招新,招新,2026-10-08,2026-10-15,,,线上+线下,办公室,新成员名单,,四部门联合招新，统一宣传口径
全学媒,期中总结会,会议,2026-11-15,,19:00,20:00,书院会议室,办公室,会议纪要,,各部门汇报进度与问题
全学媒,年末总结暨表彰会,会议,2026-12-27,,19:00,21:00,主楼报告厅,办公室,总结报告+表彰名单,,年度总结与优秀表彰
全学媒,春季开学动员会,会议,2027-03-01,,19:00,20:00,书院会议室,办公室,会议纪要,,春季学期工作动员
全学媒,春季期中复盘会,会议,2027-04-25,,19:00,20:00,书院会议室,办公室,复盘记录,,期中复盘与改进
全学媒,换届与学年总结会,会议,2027-06-20,,19:00,21:00,书院会议室,办公室,交接文档,,学年总结与工作交接
办公室,学期需求征集与排期,对接,2026-09-05,2026-09-15,,,办公室,办公室,需求登记表,,联系学支/学发/艺术中心征集本学期需求
办公室,外派需求对接会,对接,2026-09-18,,14:00,15:30,办公室,办公室,需求清单,,与需求方确认内容、时限、交付形式
办公室,招新面试与分工表,招新,2026-10-15,2026-10-20,,,办公室,办公室,分工表,,组织面试，确定新成员分工
办公室,月度任务分派会,派单,2026-09-01,,19:00,19:40,办公室,办公室,分派记录,每月,每月初分派当月任务
办公室,周度例会,会议,2026-09-07,,21:00,21:30,办公室,办公室,会议纪要,每周,每周一例会，同步进度
办公室,元旦晚会物料需求登记,对接,2026-11-20,2026-12-10,,,办公室,办公室,物料清单,,汇总各部门物料需求
办公室,年末归档整理,归档,2026-12-25,2027-01-05,,,办公室,办公室,归档包,,整理全年材料并归档
新媒体运营部,迎新专题推送,推送,2026-09-01,2026-09-10,,,线上,待定,推文链接,,预写文案，活动后换图更新
新媒体运营部,开学典礼推送,推送,2026-09-25,2026-09-26,,,线上,待定,推文链接,,活动后24小时内更新发布
新媒体运营部,国庆专题推送,推送,2026-09-28,2026-10-02,,,线上,待定,推文链接,,预写+活动后更新
新媒体运营部,招新宣传推送,推送,2026-10-05,2026-10-10,,,线上,待定,推文链接,,配合招新统一宣传
新媒体运营部,校庆日专题推送,推送,2026-10-20,2026-10-25,,,线上,待定,推文链接,,预写+活动后更新
新媒体运营部,元旦晚会预热与回顾推送,推送,2026-12-15,2027-01-02,,,线上,待定,推文链接,,预热稿+晚会回顾稿
新媒体运营部,期末学风建设推送,推送,2027-01-05,2027-01-15,,,线上,待定,推文链接,,期末复习与学风引导
新媒体运营部,春季开学推送,推送,2027-02-25,2027-03-05,,,线上,待定,推文链接,,返校提醒与开学引导
新媒体运营部,运动会推送,推送,2027-04-10,2027-04-20,,,线上,待定,推文链接,,赛前预热+赛况回顾
新媒体运营部,艺术节推送,推送,2027-04-20,2027-05-05,,,线上,待定,推文链接,,艺术节系列报道
新媒体运营部,毕业季系列推送,推送,2027-05-20,2027-06-25,,,线上,待定,推文链接,,毕业季系列内容策划
新媒体运营部,推送排期周会,会议,2026-09-06,,20:00,20:30,线上,待定,排期表,每周,每周日晚确定下周推送排期
视觉传达部,迎新与军训摄影摄像,拍摄,2026-09-01,2026-09-20,,,书院,待定,照片/视频素材,,拍丰富素材，供推送与回顾使用
视觉传达部,开学典礼摄影,拍摄,2026-09-25,,08:30,11:00,主楼,待定,照片包,,常规活动拍摄流程
视觉传达部,国庆活动摄影,拍摄,2026-10-01,,09:00,11:00,书院,待定,照片包,,常规活动拍摄
视觉传达部,校庆日摄影摄像,拍摄,2026-10-25,,09:00,17:00,书院,待定,照片+视频,,较大活动，多机位、丰富素材
视觉传达部,元旦晚会摄影摄像,拍摄,2026-12-30,,18:00,22:00,报告厅,待定,照片+视频,,较大活动，摄像需丰富素材
视觉传达部,运动会摄影摄像,拍摄,2027-04-15,,08:00,17:00,操场,待定,照片+视频,,较大活动，多机位拍摄
视觉传达部,艺术节摄影摄像,拍摄,2027-04-28,,14:00,18:00,书院,待定,照片+视频,,艺术节现场记录
视觉传达部,毕业晚会与典礼摄影摄像,拍摄,2027-06-18,2027-06-25,,,书院,待定,照片+视频,,毕业季重点拍摄
